t,x,y,z,intensity
88,12398.3056640625,13798.896484375,-516.091064453125,1817.36108398438
89,12290.1376953125,14184.4619140625,-416.208984375,1011.89459228516
90,12389.1708984375,14063.712890625,-175.5859375,677.274536132812
91,12401.65625,14167.46875,-349.8330078125,913.227294921875
95,12319.927734375,14125.474609375,-461.065673828125,1322.51782226562
96,12333.353515625,14157.384765625,-484.647705078125,1717.03454589844
96,12340.357421875,14106.705078125,-473.900299072266,1768.77722167969
97,12182.669921875,14040.0478515625,-312.793823242188,1071.49426269531
98,11780.8515625,12828.8203125,-446.7783203125,843.989868164062
98,12366.013671875,10577.8798828125,-240.61279296875,486.865936279297
99,12599.9111328125,14357.169921875,984.695129394531,3529.76904296875
100,12372.71484375,14083.12109375,-438.667236328125,1386.21520996094
101,12283.123046875,14127.1171875,-139.429077148438,811.261596679688
101,12959.21875,14098.37890625,-674.396728515625,2788.63354492188
102,12332.326171875,14168.7158203125,-344.212646484375,997.768310546875
103,12215.046875,14138.3740234375,-65.842041015625,704.119201660156
104,12393.314453125,14245.623046875,-236.37109375,800.584533691406
105,12527.201171875,14167.013671875,-459.079193115234,1337.80505371094
106,12338.916015625,14105.2490234375,-144.789672851562,662.183898925781
107,12495.328125,14451.052734375,-590.623901367188,1952.3828125
107,12586.2314453125,14220.5322265625,-351.530395507812,1174.62780761719
107,13131.939453125,14509.6484375,-856.904113769531,4664.4150390625
108,12609.705078125,14205.2158203125,-286.500122070312,886.999084472656
109,12419.2919921875,14175.5849609375,-495.199127197266,1445.04638671875
110,12472.537109375,14092.1591796875,-476.295989990234,1166.76184082031
111,12399.5126953125,13918.0859375,-601.073608398438,1864.13635253906
112,12002.087890625,13341.390625,-511.8837890625,1108.02856445312
112,12387.8203125,14109.6689453125,-671.57666015625,2466.86108398438
112,12731.318359375,14369.7158203125,-184.701293945312,819.628295898438
113,12735.9765625,14410.0673828125,-95.7396240234375,708.315490722656
114,12473.201171875,14207.20703125,-458.942474365234,1383.15698242188
114,12487.68359375,14174.521484375,-464.369873046875,1494.9384765625
114,12577.865234375,13960.853515625,-683.593627929688,3145.267578125
115,12561.53515625,14266.9287109375,-456.18701171875,1517.25524902344
115,12594.9375,14240.34765625,-448.617095947266,1415.529296875
116,12363.099609375,14271.3779296875,-380.50341796875,1252.94714355469
117,12309.0830078125,14195.15625,-75.7120361328125,721.101135253906
118,12478.0908203125,14234.892578125,-515.381225585938,1316.08801269531
119,12361.962890625,14332.8994140625,8.45745849609375,805.466430664062
122,12555.5654296875,13942.337890625,-676.736694335938,2895.599609375
124,12783.5302734375,14427.3828125,-99.4239501953125,577.283325195312
125,12470.8251953125,14578.0966796875,-816.322265625,3638.11547851562
125,12878.1103515625,14608.8232421875,61.597412109375,512.874877929688
126,12731.7333984375,13965.759765625,-715.9599609375,2830.123046875
127,12247.5048828125,14068.91015625,-149.502075195312,721.915649414062
127,12494.8125,13891.09375,-716.349487304688,2829.82153320312
128,12272.3125,13745.1328125,-454.7080078125,920.279235839844
128,12373.548828125,14255.080078125,-361.087890625,1331.26477050781
131,12429.234375,14198.892578125,-394.14697265625,1322.3369140625
132,12523.4873046875,14286.822265625,-383.311157226562,1236.10168457031
133,12463.2919921875,14177.228515625,-188.326416015625,756.710083007812
134,12396.4306640625,14309.083984375,-77.2657470703125,615.436157226562
135,11880.2197265625,13271.0009765625,-733.049560546875,1974.96813964844
137,12656.0986328125,14113.087890625,-502.7958984375,1295.06616210938
138,12561.3466796875,14425.701171875,-304.56201171875,1021.73815917969
139,11015.259765625,12194.6865234375,-444.695068359375,753.65771484375
139,12613.4609375,14456.091796875,-545.518798828125,1347.83276367188
140,11792.974609375,13178.0361328125,-858.120727539062,3567.19165039062
141,12426.88671875,14134.3173828125,-277.42236328125,1217.21398925781
142,11993.9169921875,12789.08203125,-349.69873046875,726.50341796875
142,12502.294921875,14154.4033203125,-293.431762695312,1019.57501220703
143,12499.5029296875,13983.33203125,-546.449951171875,2043.78405761719
144,12248.759765625,14070.404296875,-273.952270507812,799.13525390625
145,12544.111328125,14310.1416015625,-43.129638671875,556.152893066406
146,12414.9912109375,14203.56640625,770.713073730469,1824.783203125
147,12375.083984375,14174.8720703125,-141.07861328125,600.369934082031
150,11939.162109375,12748.7109375,-280.54833984375,646.655883789062
150,12333.9638671875,14025.990234375,-364.27490234375,1066.99145507812
151,12342.98828125,14268.7021484375,-396.94873046875,954.169494628906
153,11926.759765625,13055.796875,-243.1259765625,511.723083496094
153,12526.48828125,14110.755859375,-411.864654541016,1320.57641601562
156,12365.537109375,14090.677734375,-459.594329833984,1013.56689453125
159,12408.818359375,14050.1669921875,175.348205566406,553.717407226562
160,12520.7216796875,14203.19921875,-250.407592773438,888.025146484375
161,12452.2080078125,14218.1494140625,-166.473510742188,895.280212402344
162,12160.0546875,13017.51953125,-497.597412109375,875.032531738281
162,12163.1875,13028.298828125,-558.390380859375,1246.02758789062
162,12612.7685546875,14290.3701171875,762.376220703125,1819.71911621094
163,11893.8759765625,12877.8515625,-138.0419921875,480.450286865234
163,12364.9228515625,14235.681640625,-332.896606445312,1280.46813964844
163,12366.31640625,14257.783203125,-300.037475585938,1000.41314697266
164,11809.70703125,13279.38671875,-901.112121582031,7017.470703125
164,12367.54296875,14230.1904296875,-264.760986328125,1046.31091308594
165,11913.0478515625,12894.6142578125,-359.292358398438,870.295715332031
165,12371.4990234375,14099.1220703125,-143.622680664062,521.480224609375
166,11971.728515625,13044.08984375,-225.771484375,650.329528808594
166,12568.63671875,14303.880859375,855.533569335938,1606.18395996094
167,12443.337890625,14100.119140625,-393.74609375,1053.83544921875
168,12283.7783203125,14175.0966796875,-299.242797851562,924.685913085938
169,12627.3447265625,14118.7109375,-450.49560546875,1034.16174316406
170,11996.9228515625,12795.6044921875,-158.178344726562,501.903045654297
170,12567.3388671875,14229.28515625,806.816955566406,1827.54357910156
173,11880.2265625,13193.6708984375,-628.655639648438,1514.90002441406
